Region,Male,Female
Dodoma,76.4,86.8
Arusha,59.4,72
Kilimanjaro,56.7,62.2
Tanga,71.9,73.8
Morogoro,84.1,79.3
Pwani,73.9,81
Dar-es-salaam,46,55.8
Lindi,85.3,86.6
Mtwara,82.3,86.4
Ruvuma,81.3,80.6
Iringa,63.5,67.7
Mbeya,69.6,75.8
Singida,80.7,82.1
Tabora,87.6,88.5
Rukwa,81,86.8
Kigoma,81,87
Shinyanga,79.5,85
Kagera,76.9,85.6
Mwanza,73.7,76.6
Mara,74.3,79
Manyara,81,80.2
Njombe,83.1,80.2
Katavi,84.9,90.4
Simiyu,83,83.2
Geita,81.8,89.2
Songwe,69.6,75.8
Kaskazini Unguja,67.1,46.5
Kusini Unguja,24.4,28.3
Mjini Magharibi,19.6,22.5
Kaskazini Pemba,52.8,56.8
Kusini Pemba,42,44